Nobody's Fool,91.70
Children of Men,30.87
Beautiful People,98.49
Shaolin Wooden Men (Shao Lin mu ren xiang),36.18
"Ordet (Word, The)",88.06
All Quiet on the Western Front,20.28
Freaky Friday,60.94
Believe Me,10.19
"Protector, The (a.k.a. Warrior King) (Tom yum goong)",21.97
Or (a.k.a. My Treasure),92.59
Gigantic,16.12
"Three Caballeros, The",91.57
It's Complicated,26.43
25 Watts,15.07
Finding Normal,62.77
2009: Lost Memories,97.08
Simone (S1m0ne),22.01
"Hucksters, The",87.93
Scandali nudi,49.94
Exit to Eden,87.40
Five Star Final,44.91
Kozara,36.98
Street Fighter: The Legend of Chun-Li,10.10
Ajami,98.96
Movie Movie,47.95
That Sugar Film,94.83
Dobermann,5.69
For Ever Mozart,1.46
The Intruders,65.48
The Apocalypse,17.72
"Endurance: Shackleton's Legendary Antarctic Expedition, The",74.94
D.O.A.,17.00
Jeremy,97.79
Boomerang,47.35
Crimes of Fashion,60.66
Facing the Giants,64.53
When Animals Dream (Når dyrene drømmer),10.14
It Happened to Jane,99.69
Thrilla in Manila,71.74
[REC],49.82
Cold Prey III (Fritt Vilt III),1.29
Animal Farm,81.67
"Tin Drum, The (Blechtrommel, Die)",30.36
Scary Movie 5 (Scary MoVie),62.99
Harry Potter and the Chamber of Secrets,74.90
Up Close and Personal,26.54
3 Women (Three Women),74.92
Sunshine,76.80
American Boy: A Profile of: Steven Prince,78.08
Amores Perros (Love's a Bitch),4.70
Sunset Strip,46.71
Detention,59.64
Thank You a Lot,68.35
Ghost Story,74.02
Electronic Labyrinth THX 1138 4EB,14.84
Milk,69.88
Project X,65.08
Adventures of Tarzan,1.37
Better Luck Tomorrow,31.93
"Great Sinner, The",15.06
Subway,18.72
"Family Stone, The",50.28
"Chapman Report, The",33.76
"Dust of Time, The",56.67
Brother,32.06
Agent Cody Banks,20.91
Out of the Fog,16.48
Vixen!,88.05
Thesis on a Homicide,15.12
Alphabet,2.33
Third Star,64.13
Gate of Hell (Jigokumon),71.06
Krakatoa: The Last Days,58.04
Mary and Max,4.00
Federal Hill,62.24
Sacred Heart,25.29
"Monkey's Mask, The",32.82
"City of Women, The (Città delle donne, La)",98.07
Threads,28.21
Please Give,37.46
Die Another Day,46.83
Halfmoon (Paul Bowles - Halbmond),18.84
"Happy Event, A (Un Heureux Evénement)",37.62
"Invasion, The",77.30
Almighty Thor,0.60
Puppet Master II,26.71
"Spy Who Came in from the Cold, The",66.63
Sound of My Voice,44.30
Strip-tease,44.04
Albuquerque,24.58
"Equalizer, The",78.34
Shed No Tears (Känn ingen sorg),44.34
Air Doll (Kûki ningyô),24.40
Loves of a Blonde (Lásky jedné plavovlásky),98.05
"Song Remains the Same, The",38.37
Caged,33.13
Read It and Weep,73.90
Smashed,73.63
Blue Is the Warmest Color (La vie d'Adèle),76.17
Broken Lullaby (a.k.a. The Man I Killed),98.33
Cradle of Fear,59.03
Captive Heart: The James Mink Story,40.23
"Yellow Cab Man, The",56.69
Bush Mama,66.21
Mystics in Bali (Leák),70.09
Silent Witness (Do Not Disturb),36.23
"Prince of Pennsylvania, The",10.61
Caliber 9,22.94
S.W.A.T.,64.26
Menace II Society,91.03
Evelyn Prentice,50.44
Kansas City,66.24
Ski Patrol,66.02
"What's Up, Scarlet?",34.65
Pooh's Heffalump Movie,43.18
Mortal Kombat,61.24
"Fitzgerald Family Christmas, The",14.79
The Last Train through Harecastle Tunnel,40.99
"Odd Couple II, The",59.25
"Fuehrer's Face, Der",21.60
"Sex of Angels, The (El sexo de los ángeles)",67.03
Bonsái,75.55
"Blood, Guts, Bullets and Octane",53.03
Madagascar 3: Europe's Most Wanted,16.37
Amen,55.27
Heaven's Burning,88.97
"Inquisitor, The (a.k.a. Under Suspicion) (Garde à vue)",72.91
Vanilla Sky,87.28
"Prince and the Pauper, The",41.75
Thunderbirds Are GO,67.43
Waltz with Bashir (Vals im Bashir),77.91
Family Way,13.24
Fear Over the City,59.52
"My Lady Margarine (Die Austernprinzessin) (Oyster Princess, The)",13.32
Kosmos,83.37
Duplicate,49.84
Ondine,41.77
Pokémon Origins,37.70
Arabian Nights (Il fiore delle mille e una notte),26.37
Space Pirate Captain Harlock: Arcadia of My Youth (Waga seishun no Arcadia),36.15
"Detective, The (C+ jing taam)",89.26
"Secret Glory, The",38.38
Same Old Song (On connaît la chanson),97.60
"Unbelievable Truth, The",96.27
"Eleventh Year, The (Odinnadtsatyy) ",41.13
Attack Force,90.56
Les Invisibles,43.99
The Living Idol,96.36
Corto Maltese: The Guilded House of Samarkand (La maison dorée de Samarkand),63.58
"I Love You, Man",33.44
Eyes Wide Open (Einayim Petukhoth),92.89
Girls on the Road (a.k.a. Hot Summer Week),31.38
Rachel Getting Married,30.86
Deep Rising,48.69
Score: A Hockey Musical,43.27
"Knot, The",23.68
"Mill and the Cross, The",80.60
Amy,39.66
Winter of Frozen Dreams,17.93
Endangered Species,50.27
Dirty,59.51
Liverpool,55.80
The 'High Sign',16.92
Conserva Acabada,74.27
King of the Jungle,49.33
Follow That Dream,9.93
Mr. Brooks,90.06
"White Massai, The (Weisse Massai, Die)",57.10
"Time Machine, The",93.50
Cyborg,93.82
I Even Met Happy Gypsies (Skupljaci perja),56.20
Bound,93.54
"Golden Christmas, A",20.17
Let's Get Those English Girls,65.77
Our Children (À perdre la raison),23.77
Hercules,24.14
Ingmar Bergman on Life and Work (Ingmar Bergman: Om liv och arbete),47.44
Tart,58.22
Amandla! A Revolution in Four Part Harmony,24.49
Hangtime - Kein leichtes Spiel,79.86
Shanghai Express,95.54
Married to the Mob,34.38
Who Killed the Electric Car?,17.62
Mum & Dad,5.17
Lightspeed,56.65
"Last Metro, The (Dernier métro, Le)",52.27
R,30.19
Wondrous Oblivion,69.72
"Words, The",23.15
Beerfest,46.44
Quatsch und die Nasenbärbande,2.38
We Bought a Zoo,72.63
Trinity: Gambling for High Stakes (Odds and Evens) (Pari e dispari),39.74
Police Story (Ging chaat goo si),70.95
Getting to Know You,73.76
Bugsy,60.57
FBI: Frikis buscan incordiar,3.14
Good Boy!,55.00
Happiness,28.87
"Newton Boys, The",55.67
Mad Love (Juana la Loca),41.27
The Army,94.83
Rampart,67.78
"Big Wedding, The",64.78
Land of the Lost,20.44
Dorian Gray,49.07
Smokey and the Bandit III,40.79
"Go-Between, The",81.18
"I Love You, Alice B. Toklas!",46.51
Revenge of the Electric Car,99.20
Enemy,39.39
Stray Dog (Nora inu),69.09
"Hard Man, The",42.63
